product_name,platform,price,review
Adidas Running Shoes,Flipkart,4499,"Good grip, worth the price."
Puma Sneakers,Amazon,3899,"Stylish & durable."
Puma Sneakers,Flipkart,3799,"Comfortable but sizing slightly off."
Woodland Boots,Amazon,5299,"Tough build, perfect for trekking."
Woodland Boots,Flipkart,5199,"Heavy but solid quality."
Levi's 511 Jeans,Amazon,2999,"Perfect fit, premium feel."
Levi's 511 Jeans,Flipkart,2899,"Color doesn’t fade, great material."
Roadster Denim Jacket,Amazon,1899,"Looks dope, warm enough."
Roadster Denim Jacket,Flipkart,1799,"Good quality for the price."
H&M Hoodie,Amazon,1599,"Super soft & cozy."
H&M Hoodie,Flipkart,1499,"Fabric is good, colors pop."
Bata Formal Shoes,Amazon,2499,"Decent office shoes."
Bata Formal Shoes,Flipkart,2399,"Comfortable but a bit stiff at first."
HRX T-shirt,Amazon,599,"Fits well & breathable."
HRX T-shirt,Flipkart,549,"Good for workouts."
Wildcraft Backpack,Amazon,1799,"Sturdy material & spacious."
Wildcraft Backpack,Flipkart,1699,"Perfect for college."
American Tourister Luggage,Amazon,4399,"Durable, smooth wheels."
American Tourister Luggage,Flipkart,4299,"Great for travel."
Skybags Duffle Bag,Amazon,1999,"Perfect weekend bag."
Skybags Duffle Bag,Flipkart,1899,"Lightweight & stylish."
Safari Suitcase,Amazon,3599,"Solid build quality."
Safari Suitcase,Flipkart,3499,"Good space & design."
Prestige Pressure Cooker,Amazon,1899,"Works perfectly, quick cooking."
Prestige Pressure Cooker,Flipkart,1799,"Good build, easy to clean."
Milton Water Bottle,Amazon,399,"Keeps water cold for hours."
Milton Water Bottle,Flipkart,349,"Good quality plastic."
Cello Lunch Box,Amazon,699,"Perfect for office lunch."
Cello Lunch Box,Flipkart,649,"Keeps food warm."
Pigeon Non-stick Pan,Amazon,899,"Decent quality, non-stick works."
Pigeon Non-stick Pan,Flipkart,849,"Affordable & useful."
Hawkins Cooker,Amazon,2299,"Strong & durable."
Hawkins Cooker,Flipkart,2199,"Works well, no issues."
LaOpala Dinner Set,Amazon,1699,"Elegant design, lightweight."
LaOpala Dinner Set,Flipkart,1649,"Looks premium."
Nayasa Storage Containers,Amazon,499,"Very handy in kitchen."
Nayasa Storage Containers,Flipkart,459,"Decent plastic quality."
Solimo Bedsheet,Amazon,699,"Soft fabric & bright colors."
Solimo Bedsheet,Flipkart,649,"Good fit on double bed."
Bombay Dyeing Blanket,Amazon,1299,"Warm & comfy."
Bombay Dyeing Blanket,Flipkart,1199,"High-quality fiber."
Wakefit Pillow,Amazon,499,"Super soft, great for sleep."
Wakefit Pillow,Flipkart,449,"Nice support for neck."
Sleepwell Mattress,Amazon,8499,"Comfort level 10/10."
Sleepwell Mattress,Flipkart,8299,"Great for back support."
Nilkamal Plastic Chair,Amazon,799,"Lightweight & strong."
Nilkamal Plastic Chair,Flipkart,749,"Good for balcony."
Godrej Almirah,Amazon,12499,"Spacious & sturdy."
Godrej Almirah,Flipkart,12299,"Quality metal build."
Urban Ladder Coffee Table,Amazon,2999,"Minimal & cute."
Urban Ladder Coffee Table,Flipkart,2899,"Good finish."
Kurlon Mattress Protector,Amazon,899,"Soft & waterproof."
Kurlon Mattress Protector,Flipkart,849,"Fits perfectly."
Cloth Drying Stand,Amazon,1599,"Very useful, folds easily."
Cloth Drying Stand,Flipkart,1499,"Strong metal rods."
Garnier Face Wash,Amazon,149,"Fresh feel after wash."
Garnier Face Wash,Flipkart,135,"Works well on oily skin."
Mamaearth Shampoo,Amazon,299,"Mild & refreshing."
Mamaearth Shampoo,Flipkart,279,"Good for daily use."
Nivea Body Lotion,Amazon,249,"Super smooth skin."
Nivea Body Lotion,Flipkart,239,"Moisturizes well."
Vaseline Lip Balm,Amazon,99,"Hydrating & long lasting."
Vaseline Lip Balm,Flipkart,89,"Affordable & works well."
Beardo Beard Oil,Amazon,249,"Smells amazing & softens beard."
Beardo Beard Oil,Flipkart,239,"Great for grooming."
Dove Soap,Amazon,55,"Soft on skin."
Dove Soap,Flipkart,52,"Gentle & creamy."
Ariel Detergent,Amazon,799,"Cleans clothes like magic."
Ariel Detergent,Flipkart,769,"Smells fresh."
Surf Excel Matic,Amazon,699,"Perfect for washing machines."
Surf Excel Matic,Flipkart,679,"Foams well."
Tide Powder,Amazon,129,"Budget & effective."
Tide Powder,Flipkart,119,"Good fragrance."
Harpic Cleaner,Amazon,89,"Cleans stains well."
Harpic Cleaner,Flipkart,85,"Strong & effective."
Colgate Toothpaste,Amazon,99,"Fresh breath & clean teeth."
Colgate Toothpaste,Flipkart,95,"Good pack."
Sensodyne Toothpaste,Amazon,139,"Great for sensitivity."
Sensodyne Toothpaste,Flipkart,129,"Relief in a few days."
Dettol Handwash,Amazon,99,"Good hygiene essential."
Dettol Handwash,Flipkart,95,"Smells clean."
Lifebuoy Handwash,Amazon,89,"Nice lather."
Lifebuoy Handwash,Flipkart,85,"Affordable & good."
Kellogg’s Cornflakes,Amazon,299,"Crispy & fresh."
Kellogg’s Cornflakes,Flipkart,289,"Good breakfast option."
Oreo Biscuits,Amazon,30,"Classic taste."
Oreo Biscuits,Flipkart,28,"Kids love it."
Aashirvaad Atta,Amazon,349,"Soft rotis."
Aashirvaad Atta,Flipkart,339,"Good quality wheat."
Fortune Basmati Rice,Amazon,699,"Long grains & aromatic."
Fortune Basmati Rice,Flipkart,689,"Perfect for biryani."
Tata Tea,Amazon,199,"Strong flavor."
Tata Tea,Flipkart,189,"Tastes great."
Bru Coffee,Amazon,299,"Fragrant & tasty."
Bru Coffee,Flipkart,289,"Nice flavor."
Soccer Ball Nivia,Amazon,799,"Good for practice."
Soccer Ball Nivia,Flipkart,749,"Durable material."
Cosco Cricket Bat,Amazon,999,"Lightweight & strong."
Cosco Cricket Bat,Flipkart,949,"Perfect for beginners."
Yonex Badminton Racket,Amazon,1499,"Very lightweight."
Yonex Badminton Racket,Flipkart,1449,"Great for daily play."
SG Cricket Gloves,Amazon,999,"Good grip."
SG Cricket Gloves,Flipkart,959,"Comfortable fit."
Teddy Soft Toy,Amazon,699,"Super cute & fluffy."
Teddy Soft Toy,Flipkart,649,"Kids love it."
Rubik’s Cube,Amazon,199,"Smooth rotation."
Rubik’s Cube,Flipkart,189,"Good build quality."
UNO Cards,Amazon,149,"Fun for fam time."
UNO Cards,Flipkart,139,"Good quality print."
Monopoly Board Game,Amazon,999,"Classic fun!"
Monopoly Board Game,Flipkart,949,"Good packaging."
Yoga Mat,Amazon,599,"Soft & grippy."
Yoga Mat,Flipkart,569,"Perfect for home workouts."
Gym Gloves,Amazon,299,"Strong grip."
Gym Gloves,Flipkart,279,"Comfortable & durable."
